日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,"23,550,783","4,300,648,272",181.50,183.50,181.00,183.00,+1.50,"8,743"
106/01/04,"24,482,374","4,478,699,942",183.00,184.00,181.50,183.00, 0.00,"8,476"
106/01/05,"21,373,561","3,913,389,163",182.00,183.50,181.50,183.50,+0.50,"8,297"
106/01/06,"23,120,808","4,250,912,732",184.00,184.50,183.50,184.00,+0.50,"9,659"
106/01/09,"18,583,788","3,419,409,204",184.00,185.00,183.00,184.00, 0.00,"5,759"
106/01/10,"20,691,305","3,811,496,280",184.50,185.50,183.50,184.00, 0.00,"7,831"
106/01/11,"29,747,168","5,438,136,536",185.00,185.00,181.50,182.00,-2.00,"10,509"
106/01/12,"48,599,502","8,959,263,194",182.50,185.50,182.50,184.50,+2.50,"13,220"
106/01/13,"53,089,358","9,622,624,651",180.50,182.50,180.50,181.50,-3.00,"16,366"
106/01/16,"30,878,049","5,545,432,320",180.00,180.50,179.00,179.50,-2.00,"13,441"
106/01/17,"13,207,419","2,386,575,839",180.50,181.00,179.50,181.00,+1.50,"5,771"
106/01/18,"23,810,637","4,292,682,797",180.50,181.00,179.50,181.00, 0.00,"7,783"
106/01/19,"25,935,613","4,673,783,621",179.50,181.00,179.50,180.50,-0.50,"8,400"
106/01/20,"42,317,086","7,658,563,990",181.00,181.50,180.50,181.00,+0.50,"7,803"
106/01/23,"58,299,156","10,699,572,592",182.50,185.00,182.50,185.00,+4.00,"13,560"
106/01/24,"72,014,239","13,356,900,945",185.00,186.50,184.50,185.50,+0.50,"14,227"
106/02/02,"153,703,780","28,731,441,750",188.00,188.50,184.00,184.50,-1.00,"21,047"
106/02/03,"30,387,652","5,604,884,683",186.00,186.00,183.50,184.50, 0.00,"8,079"
106/02/06,"29,702,832","5,476,151,588",184.50,185.50,184.00,184.50, 0.00,"8,330"
106/02/07,"23,981,988","4,418,689,272",183.50,185.00,183.00,184.50, 0.00,"8,712"
106/02/08,"45,607,272","8,371,548,478",183.50,184.50,183.00,183.50,-1.00,"8,245"
106/02/09,"23,419,788","4,320,161,722",184.00,185.50,183.50,184.00,+0.50,"6,639"
106/02/10,"49,257,380","9,113,650,300",184.50,185.50,184.00,185.50,+1.50,"9,566"
106/02/13,"26,155,819","4,904,437,753",186.50,188.00,186.50,187.50,+2.00,"10,124"
106/02/14,"46,716,940","8,798,947,193",189.00,190.00,187.50,187.50, 0.00,"11,413"
106/02/15,"39,928,274","7,528,270,012",187.00,189.50,186.50,189.00,+1.50,"12,905"
106/02/16,"28,371,087","5,360,502,302",190.00,190.50,188.00,189.00, 0.00,"9,035"
106/02/17,"20,407,880","3,870,482,337",190.00,190.50,189.00,189.50,+0.50,"7,390"
106/02/18,"3,517,102","667,392,778",190.00,190.50,189.50,189.50, 0.00,"1,771"
106/02/20,"13,280,401","2,523,599,428",190.00,190.50,189.50,190.00,+0.50,"6,466"
106/02/21,"31,987,532","6,058,373,156",190.00,190.00,188.50,190.00, 0.00,"8,646"
106/02/22,"26,144,905","4,946,742,296",190.50,191.00,188.50,188.50,-1.50,"6,199"
106/02/23,"36,095,621","6,809,495,260",188.00,189.50,187.00,188.50, 0.00,"7,885"
106/02/24,"26,177,021","4,945,608,983",187.50,190.50,187.50,189.00,+0.50,"7,417"
106/03/01,"48,263,273","9,041,728,541",188.50,188.50,186.00,186.00,-3.00,"12,019"
106/03/02,"40,879,671","7,603,470,296",188.00,188.50,185.00,186.00, 0.00,"12,567"
106/03/03,"28,213,610","5,199,920,850",184.50,185.00,184.00,184.00,-2.00,"11,570"
106/03/06,"12,633,329","2,321,087,036",184.00,184.50,183.50,183.50,-0.50,"5,831"
106/03/07,"22,816,387","4,214,029,230",184.00,185.50,184.00,185.50,+2.00,"5,824"
106/03/08,"38,657,077","7,217,763,409",186.00,188.00,185.50,187.00,+1.50,"9,614"
106/03/09,"31,119,469","5,750,011,305",185.50,186.00,184.00,184.50,-2.50,"12,394"
106/03/10,"24,886,297","4,569,391,905",184.00,184.50,183.00,183.50,-1.00,"10,065"
106/03/13,"11,025,355","2,048,482,530",185.00,186.50,185.00,186.50,+3.00,"4,141"
106/03/14,"24,373,221","4,564,713,486",188.00,188.00,186.00,186.00,-0.50,"7,773"
106/03/15,"14,147,168","2,634,475,248",185.50,187.00,185.50,186.50,+0.50,"4,952"
106/03/16,"32,452,964","6,143,253,446",188.00,190.00,188.00,190.00,+3.50,"15,071"
106/03/17,"38,698,064","7,377,279,160",189.50,191.50,189.00,191.50,+1.50,"10,731"
106/03/20,"16,531,620","3,154,243,641",191.50,191.50,189.50,191.50, 0.00,"6,790"
106/03/21,"33,662,234","6,523,324,906",192.00,195.00,191.50,195.00,+3.50,"13,192"
106/03/22,"27,766,559","5,349,879,407",192.50,193.50,191.50,193.50,-1.50,"9,435"
106/03/23,"18,831,295","3,628,401,625",192.00,193.50,192.00,193.50, 0.00,"6,052"
106/03/24,"17,722,202","3,408,016,684",192.00,193.00,192.00,192.50,-1.00,"5,225"
106/03/27,"29,867,998","5,766,195,556",194.50,194.50,192.00,193.00,+0.50,"6,963"
106/03/28,"39,522,318","7,662,549,266",195.00,195.00,192.50,194.50,+1.50,"9,380"
106/03/29,"33,839,400","6,501,685,654",194.50,194.50,191.00,191.50,-3.00,"11,340"
106/03/30,"30,716,971","5,884,771,607",192.50,193.00,190.50,191.50, 0.00,"9,900"
106/03/31,"33,996,900","6,457,321,080",191.00,192.00,189.00,189.00,-2.50,"10,225"
106/04/05,"45,116,406","8,656,195,632",189.50,193.00,189.50,193.00,+4.00,"14,224"
106/04/06,"17,417,037","3,337,417,368",193.00,193.00,191.00,191.50,-1.50,"6,309"
106/04/07,"19,066,095","3,624,732,655",192.00,192.00,188.50,191.00,-0.50,"7,861"
106/04/10,"17,388,929","3,307,523,455",191.00,191.50,189.50,190.00,-1.00,"6,803"
106/04/11,"9,788,922","1,862,488,347",190.00,191.00,189.00,191.00,+1.00,"3,348"
106/04/12,"17,418,048","3,321,982,188",190.50,191.50,190.00,191.00, 0.00,"5,778"
106/04/13,"14,796,174","2,829,915,284",189.50,192.00,189.50,191.50,+0.50,"5,705"
106/04/14,"31,317,585","5,909,582,565",189.50,189.50,188.00,189.00,-2.50,"12,442"
