開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,RiseOrFall
83.7,84.3,83.7,84.3,+0.10,120,292,-925,84.3,84.6,84.2,84.2,-0.10,239,-558,5876,84.4,84.5,83.8,84.0,-0.20,225,1001,-5522,-0.2
84.3,84.6,84.2,84.2,-0.10,239,-558,5876,84.4,84.5,83.8,84.0,-0.20,225,1001,-5522,84.5,84.5,83.8,83.8,-0.20,454,-902,1222,-0.3
83.9,84.1,83.6,84.0,+0.50,163,-497,5539,84.4,84.4,83.4,84.2,+0.20,134,-559,11392,84.2,84.4,83.6,84.3,+0.10,-461,-1643,16505,-0.1
84.4,84.4,83.4,84.2,+0.20,134,-559,11392,84.2,84.4,83.6,84.3,+0.10,-461,-1643,16505,84.3,84.4,83.9,84.2,-0.10,138,-429,4601,-0.7
84.3,84.4,83.9,84.2,-0.10,138,-429,4601,84.0,84.0,83.5,83.5,-0.70,200,311,-3216,83.8,84.0,83.5,84.0,+0.50,75,-485,-749,-0.7
83.8,84.0,83.5,84.0,+0.50,75,-485,-749,84.0,84.1,83.3,83.3,-0.70,-27,-1405,1317,83.3,83.8,83.0,83.5,+0.20,499,-3482,-2765,-0.1
83.3,83.8,83.0,83.5,+0.20,499,-3482,-2765,84.0,84.0,83.4,83.4,-0.10,261,-3950,2875,83.5,84.0,83.4,84.0,+0.60,104,364,8175,-0.3
83.5,84.0,83.4,84.0,+0.60,104,364,8175,83.6,84.0,83.6,83.7,-0.30,-202,-641,1267,85.7,85.7,83.2,84.1,+0.40,-147,345,5162,-0.4
90.6,90.7,89.6,90.0,+0.10,457,-3470,34055,90.5,91.0,90.1,90.9,+0.90,435,872,36236,91.5,91.8,90.0,91.0,+0.10,355,-1517,19155,-1.0
90.5,91.0,90.1,90.9,+0.90,435,872,36236,91.5,91.8,90.0,91.0,+0.10,355,-1517,19155,90.4,90.9,90.0,90.0,-1.00,223,-123,5977,-0.1
90.0,90.3,89.6,89.9,-0.10,231,370,81,90.0,90.2,89.8,90.1,+0.20,-109,-933,14537,91.0,91.0,89.8,90.5,+0.40,445,288,11219,0.0
90.0,90.2,89.8,90.1,+0.20,-109,-933,14537,91.0,91.0,89.8,90.5,+0.40,445,288,11219,90.7,90.9,90.0,90.5, 0.00,46,997,8748,-0.2
91.0,91.0,89.8,90.5,+0.40,445,288,11219,90.7,90.9,90.0,90.5, 0.00,46,997,8748,89.8,90.7,89.8,90.3,-0.20,-1170,2378,3691,-0.8
90.7,90.9,90.0,90.5, 0.00,46,997,8748,89.8,90.7,89.8,90.3,-0.20,-1170,2378,3691,89.8,90.3,89.5,89.5,-0.80,-226,-172,638,-0.5
89.8,90.3,89.5,89.5,-0.80,-226,-172,638,90.4,90.4,89.0,89.0,-0.50,356,-862,4597,90.1,90.3,88.8,89.6,+0.60,20,320,6573,-0.8
88.8,89.9,88.5,89.9,+1.10,383,942,4045,89.9,90.7,89.6,90.5,+0.60,1198,364,2967,90.8,91.0,90.1,90.7,+0.20,-12,140,13147,-1.4
90.2,90.3,89.3,89.3,-1.40,175,370,-17852,88.9,90.0,88.0,89.9,+0.60,-2,-612,-5859,90.2,90.2,89.5,90.0,+0.10,-654,-562,1971,0.0
89.9,90.4,89.7,90.1,+0.10,286,-101,6646,90.5,91.4,90.4,90.9,+0.80,0,4015,12214,91.3,91.4,91.0,91.4,+0.50,-32,-1316,27183,-0.1
91.3,91.4,91.0,91.4,+0.50,-32,-1316,27183,91.3,91.4,90.9,91.3,-0.10,-10,-168,2465,91.3,91.8,91.3,91.5,+0.20,28,1158,9066,0.0
91.3,91.4,90.9,91.3,-0.10,-10,-168,2465,91.3,91.8,91.3,91.5,+0.20,28,1158,9066,90.8,91.5,90.5,91.5, 0.00,-529,-1254,1456,-0.2
91.3,91.8,91.3,91.5,+0.20,28,1158,9066,90.8,91.5,90.5,91.5, 0.00,-529,-1254,1456,91.7,91.7,90.8,91.3,-0.20,0,-213,745,-0.7
90.8,91.5,90.5,91.5, 0.00,-529,-1254,1456,91.7,91.7,90.8,91.3,-0.20,0,-213,745,90.5,91.0,90.5,90.6,-0.70,-140,-390,-3962,-0.1
90.0,91.0,89.8,90.5,-0.10,-28,-1131,3913,90.9,91.3,90.6,91.2,+0.70,-296,-1199,11972,91.7,91.8,91.0,91.5,+0.30,-44,192,4868,-0.1
90.9,91.3,90.6,91.2,+0.70,-296,-1199,11972,91.7,91.8,91.0,91.5,+0.30,-44,192,4868,91.5,91.6,91.2,91.4,-0.10,-20,-269,2125,-0.4
91.5,91.6,91.2,91.4,-0.10,-20,-269,2125,91.4,91.6,91.0,91.0,-0.40,278,711,1086,96.0,98.4,95.6,98.0,+7.00,897,7214,74272,-0.7
91.4,91.6,91.0,91.0,-0.40,278,711,1086,96.0,98.4,95.6,98.0,+7.00,897,7214,74272,98.2,98.6,96.7,97.3,-0.70,13,-1403,13132,-1.2
96.9,97.6,96.5,96.9,+0.40,303,-2173,18687,97.4,97.4,96.6,97.3,+0.40,565,-1311,19483,97.7,99.3,97.5,98.5,+1.20,792,2943,13853,-1.8
97.7,99.3,97.5,98.5,+1.20,792,2943,13853,97.7,97.8,96.7,96.7,-1.80,376,-87,-7679,96.7,97.3,95.6,97.3,+0.60,247,-710,7006,-0.3
97.7,97.8,96.7,96.7,-1.80,376,-87,-7679,96.7,97.3,95.6,97.3,+0.60,247,-710,7006,97.9,98.0,96.8,97.0,-0.30,281,-652,-1702,-1.2
98.5,99.5,98.0,98.8,+0.50,239,3691,2404,99.8,100.5,99.8,100.0,+1.20,402,584,11417,100.0,101.5,100.0,100.5,+0.50,797,-29,8666,0.0
99.8,100.5,99.8,100.0,+1.20,402,584,11417,100.0,101.5,100.0,100.5,+0.50,797,-29,8666,100.5,101.0,100.0,100.5, 0.00,2307,-147,-239,-0.5
100.0,101.0,100.0,100.0,-0.50,-26,-398,-2734,101.0,101.5,100.0,101.0,+1.00,0,-601,2826,102.0,105.5,101.5,104.0,+3.00,1306,-3457,10946,0.0
101.0,101.5,100.0,101.0,+1.00,0,-601,2826,102.0,105.5,101.5,104.0,+3.00,1306,-3457,10946,105.5,105.5,103.0,104.0, 0.00,92,163,10062,0.0
102.0,105.5,101.5,104.0,+3.00,1306,-3457,10946,105.5,105.5,103.0,104.0, 0.00,92,163,10062,104.0,104.0,103.0,104.0, 0.00,69,1076,2839,-1.5
104.0,104.0,103.0,104.0, 0.00,69,1076,2839,104.0,105.0,102.0,102.5,-1.50,227,1792,-2657,103.0,104.5,102.5,104.0,+1.50,597,677,8338,-0.5
104.0,105.0,102.0,102.5,-1.50,227,1792,-2657,103.0,104.5,102.5,104.0,+1.50,597,677,8338,104.0,104.0,102.5,103.5,-0.50,2214,336,-171,-0.5
103.0,104.5,102.5,104.0,+1.50,597,677,8338,104.0,104.0,102.5,103.5,-0.50,2214,336,-171,103.0,103.5,102.0,103.0,-0.50,117,-379,937,-1.0
104.0,104.0,102.5,103.5,-0.50,2214,336,-171,103.0,103.5,102.0,103.0,-0.50,117,-379,937,101.0,102.0,100.5,102.0,-1.00,-105,-848,-8701,-0.5
102.0,102.5,101.5,101.5,-0.50,-75,-631,-1844,102.5,102.5,102.0,102.5,+1.00,282,298,1101,103.0,104.5,102.5,104.0,+1.50,106,1816,10369,0.0
103.0,104.5,102.5,104.0,+1.50,106,1816,10369,103.5,104.5,103.5,104.0, 0.00,-63,-263,1389,104.5,105.0,104.0,105.0,+1.00,-16,-203,7525,-0.5
103.5,104.5,103.5,104.0, 0.00,-63,-263,1389,104.5,105.0,104.0,105.0,+1.00,-16,-203,7525,104.0,104.5,104.0,104.5,-0.50,714,-288,-2501,-1.5
103.5,104.0,103.0,103.0,-1.50,-35,-681,-12754,103.5,104.5,103.0,104.5,+1.50,-239,136,8425,105.0,105.5,104.5,105.5,+1.00,-69,-151,14544,-0.5
105.0,105.5,104.5,105.5,+1.00,-69,-151,14544,105.0,105.5,104.5,105.0,-0.50,-869,93,45,105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,-0.5
105.0,105.5,104.5,105.0,-0.50,-869,93,45,105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,0.0
105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,0.0
105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,0.0
105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,-3.0
105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,103.0,103.5,102.0,102.0,-3.00,-69,198,-13963,0.0
105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,103.0,103.5,102.0,102.0,-3.00,-69,198,-13963,101.0,102.5,101.0,102.0, 0.00,-214,973,-9804,0.0
102.5,105.0,102.5,105.0,+2.50,-85,2681,5108,106.0,110.0,106.0,109.5,+4.50,965,4414,17243,111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,-1.5
106.0,110.0,106.0,109.5,+4.50,965,4414,17243,111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,113.5,114.0,112.0,113.0,-1.50,1772,1921,-12694,-0.5
111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,113.5,114.0,112.0,113.0,-1.50,1772,1921,-12694,113.0,114.5,112.0,112.5,-0.50,144,1988,-6496,0.0
113.0,114.0,112.5,112.5, 0.00,750,-877,655,113.5,121.0,113.0,120.0,+7.50,1255,3726,5317,119.0,122.5,119.0,121.5,+1.50,-270,3011,-8605,-3.5
119.0,122.5,119.0,121.5,+1.50,-270,3011,-8605,120.0,121.0,118.0,118.0,-3.50,-247,-1567,-23933,119.5,120.0,118.5,119.0,+1.00,-206,747,-3945,-2.0
120.0,121.0,118.0,118.0,-3.50,-247,-1567,-23933,119.5,120.0,118.5,119.0,+1.00,-206,747,-3945,117.5,118.0,116.0,117.0,-2.00,267,1945,-14813,-0.5
