開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資
181.5,183.5,181.0,183.0,+1.50,0,-1193,52
183.0,184.0,181.5,183.0, 0.00,18,-115,-4106
182.0,183.5,181.5,183.5,+0.50,-540,301,1800
184.0,184.5,183.5,184.0,+0.50,56,-196,3878
184.0,185.0,183.0,184.0, 0.00,0,-971,3374
184.5,185.5,183.5,184.0, 0.00,-375,-845,3463
185.0,185.0,181.5,182.0,-2.00,-56,1536,-8875
182.5,185.5,182.5,184.5,+2.50,-1019,-1945,12006
180.5,182.5,180.5,181.5,-3.00,-764,-745,-12339
180.0,180.5,179.0,179.5,-2.00,-785,358,-16501
180.5,181.0,179.5,181.0,+1.50,-29,-452,-337
180.5,181.0,179.5,181.0, 0.00,80,-858,-1256
179.5,181.0,179.5,180.5,-0.50,-213,-412,-2291
181.0,181.5,180.5,181.0,+0.50,-48,-425,7943
182.5,185.0,182.5,185.0,+4.00,169,-1971,22456
185.0,186.5,184.5,185.5,+0.50,10,-1345,30447
188.0,188.5,184.0,184.5,-1.00,18,-1465,20156
186.0,186.0,183.5,184.5, 0.00,306,260,-2347
184.5,185.5,184.0,184.5, 0.00,-490,369,1453
183.5,185.0,183.0,184.5, 0.00,-565,5,-861
183.5,184.5,183.0,183.5,-1.00,-316,1037,-15344
184.0,185.5,183.5,184.0,+0.50,-202,-941,-738
184.5,185.5,184.0,185.5,+1.50,469,224,-5995
186.5,188.0,186.5,187.5,+2.00,105,-564,741
189.0,190.0,187.5,187.5, 0.00,-70,1541,-2290
187.0,189.5,186.5,189.0,+1.50,-59,-2640,12846
190.0,190.5,188.0,189.0, 0.00,-141,-952,5382
190.0,190.5,189.0,189.5,+0.50,-950,-91,5447
190.0,190.5,189.5,189.5, 0.00,-160,-90,1995
190.0,190.5,189.5,190.0,+0.50,-213,-177,4865
190.0,190.0,188.5,190.0, 0.00,-178,225,15741
190.5,191.0,188.5,188.5,-1.50,-262,365,6731
188.0,189.5,187.0,188.5, 0.00,-141,610,14614
187.5,190.5,187.5,189.0,+0.50,-80,-378,4411
188.5,188.5,186.0,186.0,-3.00,-31,774,-3382
188.0,188.5,185.0,186.0, 0.00,-10,289,8553
184.5,185.0,184.0,184.0,-2.00,-476,716,-7987
184.0,184.5,183.5,183.5,-0.50,-375,591,-3886
184.0,185.5,184.0,185.5,+2.00,1370,-21,-3567
186.0,188.0,185.5,187.0,+1.50,-98,-1202,5560
185.5,186.0,184.0,184.5,-2.50,-38,785,-6363
184.0,184.5,183.0,183.5,-1.00,-62,558,-8332
185.0,186.5,185.0,186.5,+3.00,-71,-528,4354
188.0,188.0,186.0,186.0,-0.50,-254,-895,6534
185.5,187.0,185.5,186.5,+0.50,-40,-278,1644
188.0,190.0,188.0,190.0,+3.50,125,-410,19050
189.5,191.5,189.0,191.5,+1.50,78,-263,14561
191.5,191.5,189.5,191.5, 0.00,-80,-298,4572
192.0,195.0,191.5,195.0,+3.50,330,-1852,18516
192.5,193.5,191.5,193.5,-1.50,-194,871,1080
192.0,193.5,192.0,193.5, 0.00,33,1255,545
192.0,193.0,192.0,192.5,-1.00,-51,332,2292
194.5,194.5,192.0,193.0,+0.50,-312,-1041,13746
195.0,195.0,192.5,194.5,+1.50,-237,-1423,20750
194.5,194.5,191.0,191.5,-3.00,394,2426,5175
192.5,193.0,190.5,191.5, 0.00,-404,60,14574
191.0,192.0,189.0,189.0,-2.50,-48,1337,1163
189.5,193.0,189.5,193.0,+4.00,133,133,15250
193.0,193.0,191.0,191.5,-1.50,-387,-160,3166
192.0,192.0,188.5,191.0,-0.50,-235,-616,-1546
191.0,191.5,189.5,190.0,-1.00,-49,116,-2476
190.0,191.0,189.0,191.0,+1.00,-47,-445,-207
190.5,191.5,190.0,191.0, 0.00,164,-71,785
189.5,192.0,189.5,191.5,+0.50,35,-253,1157
189.5,189.5,188.0,189.0,-2.50,-451,755,-13283
189.0,189.0,187.5,187.5,-1.50,-667,228,-10170
188.0,189.5,187.5,188.0,+0.50,-15,279,-4279
187.5,187.5,186.5,186.5,-1.50,-24,104,-16476
186.5,188.0,186.5,187.0,+0.50,31,-68,-3051
187.5,190.0,187.5,190.0,+3.00,256,-176,3772
191.0,191.5,188.5,190.0, 0.00,186,802,7261
190.5,192.0,189.5,192.0,+2.00,-11,695,11271
192.0,192.0,190.5,191.0,-1.00,-25,612,12311
192.0,193.0,190.5,193.0,+2.00,-16,-2396,9001
193.5,194.5,193.0,194.5,+1.50,-68,-1750,17353
198.5,199.0,195.5,196.5,+2.00,-383,-164,18421
198.0,198.5,197.0,198.0,+1.50,-5,-660,16531
198.5,199.0,197.0,198.0, 0.00,881,247,4306
197.0,198.5,197.0,197.5,-0.50,10,-332,474
199.0,202.5,199.0,202.5,+5.00,-451,-31,10237
205.5,207.0,203.5,203.5,+1.00,-57,-2807,7361
204.0,206.0,204.0,205.5,+2.00,90,638,2469
204.5,208.5,204.0,207.5,+2.00,171,376,10647
205.0,207.0,205.0,206.0,-1.50,-323,573,-23
204.0,206.0,204.0,206.0, 0.00,843,265,-2319
205.0,205.0,203.5,204.5,-1.50,2907,-39,-861
203.0,204.0,203.0,204.0,-0.50,-81,-1482,2726
202.5,204.0,201.5,203.5,-0.50,-125,40,-714
203.5,204.5,202.5,203.0,-0.50,-55,110,2514
203.5,205.0,203.0,205.0,+2.00,-54,77,2397
205.0,207.0,204.5,205.0, 0.00,-180,552,3446
205.0,206.0,205.0,205.5,+0.50,-151,317,-102
206.0,207.0,205.5,207.0,+1.50,-87,210,6864
205.0,207.0,205.0,207.0, 0.00,-137,211,1570
206.5,207.0,203.0,203.0,-4.00,-108,2659,-9570
205.0,207.0,204.5,207.0,+4.00,-218,-1373,6830
208.5,209.0,207.5,209.0,+2.00,-63,-454,9065
209.0,209.0,208.0,209.0, 0.00,-245,290,53
209.5,212.0,209.0,212.0,+3.00,-653,-741,9538
210.5,211.5,210.5,210.5,-1.50,-514,50,1897
212.0,212.5,210.0,211.5,+1.00,-10,256,5077
212.0,213.0,211.5,213.0,+1.50,-115,-882,8931
214.5,215.0,212.0,212.0,-1.00,43,677,-4285
207.0,210.0,207.0,207.5,-4.50,65,4287,-39835
207.0,208.5,206.5,208.0,+0.50,-100,2183,-21602
208.5,209.5,206.0,207.0,-1.00,310,-511,-15143
207.5,208.0,207.0,208.0,+1.00,-672,-194,1332
207.5,212.0,207.0,211.5,+3.50,897,1174,-1017
211.0,213.0,210.5,213.0,+1.50,-317,656,-14
215.0,218.0,214.5,216.5,+3.50,-33,-1738,-1202
216.0,217.0,214.5,215.5,-1.00,-55,5337,-8751
217.0,218.0,216.5,218.0,+2.50,240,3330,544
