成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"2,804,319,760",81.20,81.20,78.60,79.00,-1.80,"16,770",-313,-1098,-19130
"2,386,189,217",79.00,80.30,78.80,79.10,+0.10,"14,528",466,360,-9955
"3,325,714,092",78.30,79.10,77.30,79.00,-0.10,"18,197",-136,-1028,-7983
"3,145,237,135",77.50,78.50,77.00,78.30,-0.70,"19,184",-545,742,-10449
"2,150,126,885",77.20,78.30,77.20,78.00,-0.30,"11,120",-1259,677,-9045
"3,941,548,966",77.10,77.20,75.30,75.40,-2.60,"21,521",-975,-893,-20619
"2,366,446,781",76.00,76.50,75.40,76.30,+0.90,"12,094",-1640,-1227,2526
"1,746,518,147",77.00,77.30,76.30,76.60,+0.30,"10,691",-556,-188,-542
"1,754,900,905",75.30,76.00,74.60,76.00,-0.60,"10,649",-246,-397,-5200
"3,005,386,728",76.30,76.60,74.30,75.30,-0.70,"17,573",-1397,-1613,-16481
"1,986,068,436",73.30,75.30,73.10,74.90,-0.40,"12,714",-679,290,-4296
"1,583,829,584",75.50,75.70,74.70,75.30,+0.40,"9,492",-609,331,-4444
"2,815,100,260",74.90,74.90,73.10,73.10,-2.20,"17,447",-888,-2249,-11805
"2,306,793,552",73.30,74.10,72.70,72.70,-0.40,"12,270",0,-1978,720
"2,452,723,986",73.50,74.80,73.40,74.80,+2.10,"13,520",-1,-1423,9178
"2,057,032,785",76.20,76.20,75.50,76.00,+1.20,"11,469",-97,-104,1414
"1,265,015,391",75.30,75.80,75.00,75.50,-0.50,"7,579",-16,-834,-1057
"1,382,569,696",76.00,76.00,75.10,75.30,-0.20,"7,241",0,-195,1994
"2,235,488,669",73.70,75.40,73.70,75.10,-0.20,"10,717",757,-340,-1381
"3,688,681,070",74.50,77.80,74.50,77.80,+2.70,"17,725",-533,2490,9930
"1,016,178,365",78.10,78.70,78.10,78.20,+0.40,"6,619",731,-730,4027
"2,380,536,596",79.10,79.50,78.20,79.50,+1.30,"12,679",442,-476,9718
"1,602,270,378",79.80,79.90,78.40,78.40,-1.10,"8,980",29,-371,-505
"2,851,281,820",78.00,78.10,76.30,76.60,-1.80,"14,846",40,-835,-13115
"4,687,062,431",73.90,75.50,73.80,74.70,-1.90,"20,856",-1511,1528,-20149
"2,425,632,902",74.80,77.00,74.80,76.60,+1.90,"12,693",-357,354,1691
"2,337,961,277",77.00,77.00,75.60,76.70,+0.10,"11,897",-195,827,-2233
"2,896,594,654",77.00,77.80,76.80,77.70,+1.00,"11,124",0,-560,6661
"2,031,965,637",77.70,77.70,76.20,76.70,-1.00,"10,326",-48,292,-5929
"1,475,401,352",76.20,77.70,76.10,76.70, 0.00,"9,178",0,312,-1080
"960,989,945",76.60,77.20,76.60,77.00,+0.30,"6,326",-13,-312,-1602
"1,639,110,073",77.00,78.00,76.20,76.50,-0.50,"10,774",10,26,-4443
"4,484,549,498",76.50,80.00,76.30,78.50,+2.00,"28,586",162,3662,-1805
"3,159,358,738",77.50,78.00,76.50,78.00,-0.50,"16,485",-1290,-2931,6711
