0 1:257,226,577 2:12.15 3:12.15 4:11.8 5:11.85 6:-0.3 7:4,615 8:-220 9:-720 10:-11165 11:272,737,588 12:11.8 13:11.85 14:11.55 15:11.65 16:-0.2 17:6,064 18:0 19:-166 20:-8247 21:247,452,339 22:11.6 23:11.7 24:11.5 25:11.6 26:-0.05 27:4,733 28:1 29:-310 30:-1735
1 1:272,737,588 2:11.8 3:11.85 4:11.55 5:11.65 6:-0.2 7:6,064 8:0 9:-166 10:-8247 11:247,452,339 12:11.6 13:11.7 14:11.5 15:11.6 16:-0.05 17:4,733 18:1 19:-310 20:-1735 21:390,945,176 22:11.55 23:11.6 24:11.1 25:11.15 26:-0.45 27:6,428 28:-426 29:421 30:-13332
0 1:247,452,339 2:11.6 3:11.7 4:11.5 5:11.6 6:-0.05 7:4,733 8:1 9:-310 10:-1735 11:390,945,176 12:11.55 13:11.6 14:11.1 15:11.15 16:-0.45 17:6,428 18:-426 19:421 20:-13332 21:313,240,969 22:11.1 23:11.25 24:11.1 25:11.2 26:0.05 27:4,828 28:0 29:2720 30:-12246
0 1:390,945,176 2:11.55 3:11.6 4:11.1 5:11.15 6:-0.45 7:6,428 8:-426 9:421 10:-13332 11:313,240,969 12:11.1 13:11.25 14:11.1 15:11.2 16:0.05 17:4,828 18:0 19:2720 20:-12246 21:327,177,528 22:11.05 23:11.1 24:10.75 25:10.8 26:-0.4 27:6,629 28:0 29:-1933 30:-10328
0 1:313,240,969 2:11.1 3:11.25 4:11.1 5:11.2 6:0.05 7:4,828 8:0 9:2720 10:-12246 11:327,177,528 12:11.05 13:11.1 14:10.75 15:10.8 16:-0.4 17:6,629 18:0 19:-1933 20:-10328 21:354,216,954 22:10.85 23:10.85 24:10.7 25:10.75 26:-0.05 27:6,188 28:-3 29:-1110 30:-13138
0 1:327,177,528 2:11.05 3:11.1 4:10.75 5:10.8 6:-0.4 7:6,629 8:0 9:-1933 10:-10328 11:354,216,954 12:10.85 13:10.85 14:10.7 15:10.75 16:-0.05 17:6,188 18:-3 19:-1110 20:-13138 21:295,543,210 22:10.8 23:10.85 24:10.65 25:10.75 26:0.0 27:6,023 28:-117 29:409 30:-4889
0 1:354,216,954 2:10.85 3:10.85 4:10.7 5:10.75 6:-0.05 7:6,188 8:-3 9:-1110 10:-13138 11:295,543,210 12:10.8 13:10.85 14:10.65 15:10.75 16:0.0 17:6,023 18:-117 19:409 20:-4889 21:356,891,405 22:10.6 23:10.6 24:10.25 25:10.4 26:-0.35 27:6,662 28:0 29:-35 30:-9686
1 1:295,543,210 2:10.8 3:10.85 4:10.65 5:10.75 6:0.0 7:6,023 8:-117 9:409 10:-4889 11:356,891,405 12:10.6 13:10.6 14:10.25 15:10.4 16:-0.35 17:6,662 18:0 19:-35 20:-9686 21:370,835,980 22:10.45 23:10.55 24:10.15 25:10.15 26:-0.25 27:6,814 28:-72 29:-611 30:-21995
0 1:356,891,405 2:10.6 3:10.6 4:10.25 5:10.4 6:-0.35 7:6,662 8:0 9:-35 10:-9686 11:370,835,980 12:10.45 13:10.55 14:10.15 15:10.15 16:-0.25 17:6,814 18:-72 19:-611 20:-21995 21:428,459,422 22:10.0 23:10.35 24:10.0 25:10.25 26:0.1 27:8,262 28:0 29:-557 30:-7449
0 1:370,835,980 2:10.45 3:10.55 4:10.15 5:10.15 6:-0.25 7:6,814 8:-72 9:-611 10:-21995 11:428,459,422 12:10.0 13:10.35 14:10.0 15:10.25 16:0.1 17:8,262 18:0 19:-557 20:-7449 21:175,296,665 22:10.3 23:10.3 24:10.2 25:10.25 26:0.0 27:3,585 28:0 29:428 30:-8010
